similarity (false positives) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized2GramDiceMinMatchLength1, 0, 0, 0, 8, 1, 0, 0, 0, 0, 5
rkrGstNormalizedShingle2DiceMinMatchLength1, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGst2GramJaccardMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
longestCommonSubsequence3GramFingerprint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
winnowingShingle3Jaccard, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
overlapShingles3, 0, no result, 0, 0, 0, no result, 0, 0, 0, no result
diceNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalizedPadding2grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalized3GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
overlapShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
overlapNormalized5Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
dice2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignment5GramFingerprintNormalized, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength3, 0, 0, 0, 8, 0, 2, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
winnowingNormalized2GramJaccard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
damerauLevenshteinStandard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst3GramDiceMinMatchLength1, 0, 0, 0, 8, 1, 2, 0, 0, 0, 0
winnowingNormalized3GramDiceVariant, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalized3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalizedPadding4grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramOverlapMinMatchLength1, 0, 0, 0, 8, 1, 6, 0, 0, 0, 1
diceNormalizedShingles3, 0, 0, 0, 0, 0, no result, 0, 0, 0, no result
overlapNormalizedShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
overlapNormalizedPadding5grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalizedTokensTermFrequency, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
