average time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
manhattanNormalized3Grams, 0.0, 36.0, 3.0, 1.0, 6.0, 0.0, 7.0, 0.0, 4.0, 1.0
rkrGst3GramJaccardMinMatchLength1, 0.0, 762.0, 21.0, 5.0, 76.0, 2.0, 80.0, 0.0, 57.0, 4.0
optimalAlignmentNormalized, 0.0, 440.0, 25.0, 1.0, 53.0, 0.0, 111.0, 0.0, 55.0, 2.0
winnowing5GramJaccard, 0.0, 16.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
levenshteinStandard, 0.0, 95.0, 5.0, 0.0, 11.0, 0.0, 23.0, 0.0, 10.0, 0.0
winnowingShingle3Dice, 0.0, no result, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 2.0, no result
cosineNormalized5GramsTermFrequency, 0.0, 34.0, 2.0, 1.0, 6.0, 0.0, 7.0, 0.0, 5.0, 1.0
rkrGst2GramJaccardMinMatchLength3, 0.0, 596.0, 19.0, 4.0, 73.0, 2.0, 68.0, 0.0, 51.0, 4.0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0.0, 81.0, 3.0, 1.0, 12.0, no result, 14.0, 0.0, 9.0, 1.0
rkrGstNormalized5GramDiceMinMatchLength3, 0.0, 558.0, 25.0, 4.0, 56.0, 1.0, 67.0, 0.0, 46.0, 3.0
rkrGstNormalizedShingle2JaccardMinMatchLength2, 0.0, 73.0, 3.0, 1.0, 12.0, no result, 16.0, 0.0, 8.0, 1.0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 49.0, 1.0, 0.0, 8.0, 0.0, 6.0, 0.0, 5.0, 0.0
longestCommonSubsequence2GramFingerprint, 0.0, 41.0, 3.0, 1.0, 6.0, 0.0, 9.0, 0.0, 5.0, 0.0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0.0, 519.0, 18.0, 4.0, 54.0, 1.0, 63.0, 0.0, 38.0, 3.0
winnowingNormalized2GramDiceVariant, 0.0, 18.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0
cosineNormalizedShingle2TermFrequency, 0.0, 25.0, 2.0, 1.0, 5.0, no result, 5.0, 0.0, 3.0, 0.0
overlapNormalized4Grams, 0.0, 20.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
rkrGstShingle3JaccardMinMatchLength1, 0.0, no result, 2.0, 1.0, 12.0, no result, 11.0, 0.0, 7.0, no result
diceVariantNormalized4Grams, 0.0, 22.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 3.0, 0.0
winnowing3GramDice, 0.0, 15.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0
rkrGst2GramDiceVariantMinMatchLength1, 0.0, 657.0, 21.0, 5.0, 85.0, 2.0, 73.0, 0.0, 53.0, 4.0
optimalAlignmentShingle3Fingerprint, 0.0, no result, 0.0, 0.0, 3.0, no result, 3.0, 0.0, 2.0, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength3, 0.0, 75.0, 3.0, 1.0, 12.0, no result, 16.0, 0.0, 9.0, 0.0
winnowingShingle2Dice, 0.0, 11.0, 0.0, 0.0, 2.0, no result, 2.0, 0.0, 1.0, 0.0
jaccardNormalizedPadding5grams, 0.0, 27.0, 2.0, 1.0, 4.0, 0.0, 5.0, 0.0, 3.0, 0.0
rkrGst5GramOverlapMinMatchLength2, 0.0, 741.0, 21.0, 5.0, 77.0, 2.0, 97.0, 0.0, 60.0, 4.0
