similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0, 15, 0, 9, 6, 2, 0, 0, 0, 8
rkrGstNormalized3GramDiceVariantMinMatchLength1, 0, 15, 0, 16, 6, 0, 0, 0, 0, 8
rkrGstNormalizedShingle2DiceMinMatchLength3, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
dice2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalizedTokens, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowing3GramJaccard, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength1, 0, 9, 0, 16, 6, 0, 0, 0, 0, 8
rkrGst5GramDiceMinMatchLength1, 0, 0, 0, 9, 0, 2, 0, 0, 0, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
overlapNormalizedTokens, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst4GramOverlapMinMatchLength1, 0, 4, 0, 10, 7, 10, 0, 0, 0, 9
rkrGstShingle2OverlapMinMatchLength2, 0, 2, 0, 2, 0, no result, 1, 0, 0, 0
winnowing2GramDice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalizedPadding2grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
rkrGst4GramOverlapMinMatchLength3, 0, 0, 0, 10, 6, 10, 0, 0, 0, 8
winnowingNormalized5GramOverlap, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0
winnowingShingle2Dice, 0, 10, 0, 0, 1, no result, 2, 0, 0, 1
winnowingNormalized2GramJaccard, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0
rkrGst3GramJaccardMinMatchLength1, 0, 0, 0, 15, 6, 10, 0, 0, 0, 8
overlap5Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstShingle2DiceMinMatchLength3, 0, 2, 1, 1, 0, no result, 1, 0, 0, 0
rkrGst2GramDiceMinMatchLength1, 0, 3, 0, 11, 7, 10, 0, 0, 0, 3
diceVariantNormalized2Grams, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 2, 0, 0, 0, no result, 0, 0, 0, no result
diceVariantTokens, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 0, 0, 16, 6, 0, 0, 0, 0, 8
cosineNormalized5GramsNormalizedTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0
optimalAlignment4GramFingerprintNormalized, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0
diceNormalized5Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
jaccard4Grams, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized4GramOverlapMinMatchLength3, 0, 1, 0, 4, 6, 2, 0, 0, 0, 9
rkrGst3GramOverlapMinMatchLength2, 0, 5, 0, 10, 7, 10, 0, 0, 0, 9
winnowingShingle3Dice, 0, no result, 1, 1, 1, no result, 3, 0, 0, no result
winnowing2GramJaccard, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 2, 0, 2, 6, 2, 0, 0, 0, 9
rkrGstNormalized4GramDiceMinMatchLength3, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
rkrGstShingle3OverlapMinMatchLength1, 0, no result, 1, 2, 0, no result, 1, 0, 0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0, 10, 0, 6, 0, no result, 0, 0, 0, no result
longestCommonSubsequence3GramFingerprintNormalized, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
overlapNormalizedPadding5grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
