average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalizedTokenDiceVariant, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowingShingle3DiceVariant, 0.0, no result, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, no result
rkrGstNormalized3GramOverlapMinMatchLength1, 0.0, 24.0, 2.0, 137.0, 340.0, 41.0, 2.0, 1.0, 4.0, 152.0
rkrGstNormalized5GramOverlapMinMatchLength2, 0.0, 23.0, 2.0, 158.0, 359.0, 37.0, 2.0, 1.0, 5.0, 160.0
winnowingNormalized4GramDiceVariant, 0.0, 3.0, 0.0, 10.0, 10.0, 3.0, 0.0, 0.0, 1.0, 5.0
rkrGstNormalizedShingle3DiceMinMatchLength3, 0.0, 4.0, 0.0, 26.0, 26.0, no result, 0.0, 0.0, 1.0, no result
overlap5Grams, 0.0, 2.0, 0.0, 9.0, 6.0, 3.0, 0.0, 0.0, 0.0, 3.0
rkrGstNormalized3GramOverlapMinMatchLength2, 0.0, 22.0, 2.0, 134.0, 338.0, 35.0, 2.0, 1.0, 4.0, 155.0
rkrGstShingle3OverlapMinMatchLength1, 0.0, no result, 0.0, 27.0, 23.0, no result, 0.0, 0.0, 1.0, no result
diceNormalizedPadding3grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstTokenDiceVariantMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 12.0, 5.0, 0.0, 0.0, 0.0, 7.0
overlapShingles3, 0.0, no result, 0.0, 8.0, 5.0, no result, 0.0, 0.0, 0.0, no result
overlapNormalized2Grams, 0.0, 3.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 1.0, 4.0
longestCommonSubsequenceShingle2Fingerprint, 0.0, 1.0, 0.0, 7.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
jaccardNormalizedPadding2grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 6.0
rkrGstNormalized4GramJaccardMinMatchLength2, 0.0, 24.0, 2.0, 151.0, 363.0, 37.0, 2.0, 1.0, 4.0, 127.0
winnowingNormalized3GramJaccard, 0.0, 3.0, 0.0, 10.0, 9.0, 4.0, 0.0, 0.0, 0.0, 5.0
rkrGstShingle2DiceVariantMinMatchLength2, 0.0, 3.0, 0.0, 23.0, 18.0, no result, 0.0, 0.0, 0.0, 9.0
jaccardNormalizedTokens, 0.0, 3.0, 0.0, 12.0, 8.0, 4.0, 0.0, 0.0, 1.0, 5.0
winnowing5GramJaccard, 0.0, 3.0, 0.0, 11.0, 9.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGst4GramDiceVariantMinMatchLength3, 0.0, 39.0, 5.0, 356.0, 2908.0, 138.0, 3.0, 3.0, 9.0, 278.0
