max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst5GramJaccardMinMatchLength1, 0, 801, 21, 5, 84, 2, 89, 0, 78, 5
diceVariantNormalizedPadding5grams, 0, 21, 1, 1, 3, 0, 5, 0, 3, 0
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 58, 2, 1, 11, 0, 8, 0, 6, 0
rkrGst4GramDiceMinMatchLength3, 0, 770, 22, 4, 74, 2, 77, 0, 55, 4
rkrGstTokenDiceMinMatchLength1, 0, 53, 1, 0, 8, 0, 7, 0, 5, 0
jaccardTokens, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength2, 0, no result, 2, 0, 11, no result, 10, 0, 7, no result
cosineNormalizedShingle2Bool, 0, 24, 1, 1, 5, no result, 5, 0, 3, 0
winnowingNormalized4GramJaccard, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
longestCommonSubsequence2GramFingerprint, 0, 40, 2, 0, 6, 0, 10, 0, 5, 0
cosineNormalized3GramsNormalizedTermFrequency, 0, 30, 3, 1, 5, 0, 9, 0, 5, 1
rkrGstNormalized3GramDiceVariantMinMatchLength2, 0, 521, 17, 4, 61, 1, 65, 0, 47, 4
rkrGstNormalized2GramDiceMinMatchLength1, 0, 592, 17, 4, 66, 2, 81, 0, 50, 4
jaccard4Grams, 0, 21, 1, 0, 3, 0, 4, 0, 2, 0
rkrGstNormalizedShingle2DiceMinMatchLength2, 0, 80, 4, 1, 15, no result, 16, 0, 9, 0
dice3Grams, 0, 12, 1, 0, 2, 0, 2, 0, 2, 0
winnowingNormalized4GramDiceVariant, 0, 24, 2, 1, 4, 0, 4, 0, 3, 0
winnowingNormalizedShingle2Overlap, 0, 23, 1, 1, 4, no result, 5, 0, 3, 0
rkrGstNormalizedShingle3DiceVariantMinMatchLength1, 0, 107, 5, 1, 19, no result, 22, 0, 13, no result
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 669, 23, 5, 72, 1, 83, 0, 53, 4
manhattanNormalized2Grams, 0, 25, 2, 1, 6, 0, 5, 0, 3, 0
rkrGstShingle3DiceVariantMinMatchLength3, 0, no result, 2, 0, 14, no result, 13, 0, 11, no result
rkrGstTokenOverlapMinMatchLength3, 0, 52, 1, 0, 7, 0, 6, 0, 4, 0
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 528, 18, 4, 54, 2, 63, 0, 42, 3
winnowingNormalizedShingle2DiceVariant, 0, 23, 2, 1, 4, no result, 4, 0, 3, 0
diceVariantShingles2, 0, 10, 0, 0, 2, no result, 2, 0, 1, 0
rkrGst5GramOverlapMinMatchLength1, 0, 823, 22, 5, 85, 2, 87, 0, 62, 4
rkrGstShingle2DiceMinMatchLength2, 0, 56, 2, 0, 9, no result, 9, 0, 7, 0
rkrGstNormalized4GramDiceMinMatchLength3, 0, 576, 18, 4, 51, 1, 62, 0, 42, 3
rkrGstNormalizedShingle3OverlapMinMatchLength3, 0, 85, 4, 1, 14, no result, 17, 0, 10, no result
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 47, 1, 0, 8, 0, 5, 0, 5, 0
rkrGstShingle3JaccardMinMatchLength3, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
jaccardNormalizedShingles2, 0, 21, 1, 1, 4, no result, 4, 0, 3, 0
rkrGst4GramOverlapMinMatchLength1, 0, 786, 21, 7, 84, 2, 84, 0, 58, 4
winnowing5GramDice, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
rkrGst3GramDiceVariantMinMatchLength3, 0, 700, 20, 4, 71, 1, 73, 0, 52, 4
winnowingNormalized3GramJaccard, 0, 21, 1, 1, 3, 0, 4, 0, 4, 0
rkrGst2GramDiceMinMatchLength1, 0, 633, 19, 5, 71, 2, 70, 0, 52, 4
