total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized3GramJaccardMinMatchLength3,0,608,18,4,63,1,64,0,43,3
rkrGstNormalized3GramOverlapMinMatchLength1,0,634,23,5,69,3,68,0,56,4
rkrGstNormalized3GramOverlapMinMatchLength2,0,538,17,4,50,1,62,0,42,3
rkrGstNormalized3GramOverlapMinMatchLength3,0,595,21,4,56,2,63,0,48,4
rkrGstNormalized4GramDiceMinMatchLength1,0,642,18,4,57,1,67,0,45,4
rkrGstNormalized4GramDiceMinMatchLength2,0,555,18,4,51,1,60,0,42,3
rkrGstNormalized4GramDiceMinMatchLength3,0,554,17,4,50,1,61,0,43,3
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,701,21,4,58,2,68,0,46,4
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,585,22,4,52,1,64,0,42,5
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,542,18,4,53,1,63,0,41,4
rkrGstNormalized4GramJaccardMinMatchLength1,0,598,19,4,57,1,78,0,58,5
rkrGstNormalized4GramJaccardMinMatchLength2,0,573,18,4,53,1,62,0,43,3
rkrGstNormalized4GramJaccardMinMatchLength3,0,549,18,4,52,2,64,0,45,3
rkrGstNormalized4GramOverlapMinMatchLength1,0,598,19,4,56,2,74,0,46,3
rkrGstNormalized4GramOverlapMinMatchLength2,0,551,18,4,61,1,68,0,44,4
rkrGstNormalized4GramOverlapMinMatchLength3,0,553,19,4,63,1,64,0,41,3
rkrGstNormalized5GramDiceMinMatchLength1,0,623,19,6,61,2,84,0,59,4
rkrGstNormalized5GramDiceMinMatchLength2,0,566,18,4,58,1,64,0,46,3
rkrGstNormalized5GramDiceMinMatchLength3,0,623,21,4,67,2,66,0,45,3
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,696,26,4,68,2,78,0,54,5
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,572,19,4,59,1,67,0,47,4
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,572,19,3,62,1,66,0,48,4
rkrGstNormalized5GramJaccardMinMatchLength1,0,643,20,5,63,2,72,0,50,4
rkrGstNormalized5GramJaccardMinMatchLength2,0,590,19,4,61,1,72,0,46,4
rkrGstNormalized5GramJaccardMinMatchLength3,0,621,19,4,59,1,65,0,51,4
rkrGstNormalized5GramOverlapMinMatchLength1,0,659,20,5,66,2,79,0,50,4
rkrGstNormalized5GramOverlapMinMatchLength2,0,576,18,4,57,1,65,0,47,3
rkrGstNormalized5GramOverlapMinMatchLength3,0,578,19,4,58,1,65,0,46,4
rkrGstNormalizedShingle2DiceMinMatchLength1,0,83,4,1,13, no result,15,0,8,1
rkrGstNormalizedShingle2DiceMinMatchLength2,0,76,3,1,12, no result,15,0,8,0
rkrGstNormalizedShingle2DiceMinMatchLength3,0,82,4,1,12, no result,15,0,9,1
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,81,4,1,14, no result,15,0,9,1
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,76,5,1,12, no result,15,0,9,1
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,76,3,1,13, no result,14,0,8,0
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,84,4,1,13, no result,16,0,9,1
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,97,4,1,13, no result,19,0,10,1
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,81,4,1,13, no result,17,0,12,1
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,86,4,1,14, no result,16,0,9,1
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,74,3,1,12, no result,14,0,8,0
