total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized2GramDiceMinMatchLength1,0,24,2,132,325,34,2,1,4,143
rkrGstNormalized2GramDiceMinMatchLength2,0,28,2,148,321,31,2,1,5,141
rkrGstNormalized2GramDiceMinMatchLength3,0,21,2,131,376,35,2,1,4,175
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,25,2,135,334,37,2,1,4,152
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,22,2,126,316,32,2,1,3,141
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,22,2,123,330,31,2,1,4,141
rkrGstNormalized2GramJaccardMinMatchLength1,0,25,2,146,389,37,3,1,5,151
rkrGstNormalized2GramJaccardMinMatchLength2,0,22,2,127,318,33,2,1,4,146
rkrGstNormalized2GramJaccardMinMatchLength3,0,24,3,131,328,34,2,2,4,144
rkrGstNormalized2GramOverlapMinMatchLength1,0,23,2,132,322,35,2,1,4,158
rkrGstNormalized2GramOverlapMinMatchLength2,0,26,2,142,330,33,2,1,4,144
rkrGstNormalized2GramOverlapMinMatchLength3,0,30,2,170,448,40,2,1,5,235
rkrGstNormalized3GramDiceMinMatchLength1,0,23,2,136,336,36,2,1,4,152
rkrGstNormalized3GramDiceMinMatchLength2,0,22,3,135,334,36,2,1,4,153
rkrGstNormalized3GramDiceMinMatchLength3,0,23,2,132,341,33,2,1,4,153
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,36,3,157,343,40,2,1,4,159
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,30,5,179,343,35,2,1,4,160
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,28,2,141,398,40,2,1,4,162
rkrGstNormalized3GramJaccardMinMatchLength1,0,25,2,147,349,41,2,1,4,156
rkrGstNormalized3GramJaccardMinMatchLength2,0,23,2,138,352,34,2,1,4,171
rkrGstNormalized3GramJaccardMinMatchLength3,0,24,2,151,393,36,2,1,4,189
rkrGstNormalized3GramOverlapMinMatchLength1,0,29,3,156,373,40,2,1,5,176
rkrGstNormalized3GramOverlapMinMatchLength2,0,22,2,137,340,33,2,1,4,153
rkrGstNormalized3GramOverlapMinMatchLength3,0,24,2,156,389,46,2,1,5,173
rkrGstNormalized4GramDiceMinMatchLength1,0,26,2,153,356,38,2,1,4,128
rkrGstNormalized4GramDiceMinMatchLength2,0,23,2,150,354,37,2,1,5,131
rkrGstNormalized4GramDiceMinMatchLength3,0,23,2,148,346,35,2,1,4,124
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,36,2,158,366,39,2,1,4,139
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,28,3,173,358,37,2,1,4,128
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,24,2,147,345,38,2,2,4,123
rkrGstNormalized4GramJaccardMinMatchLength1,0,28,2,158,365,39,3,1,5,144
rkrGstNormalized4GramJaccardMinMatchLength2,0,25,2,148,346,35,2,1,4,125
rkrGstNormalized4GramJaccardMinMatchLength3,0,24,3,149,359,36,2,1,4,128
rkrGstNormalized4GramOverlapMinMatchLength1,0,25,2,157,383,45,2,1,4,130
rkrGstNormalized4GramOverlapMinMatchLength2,0,24,3,185,358,39,2,1,4,129
rkrGstNormalized4GramOverlapMinMatchLength3,0,23,2,153,379,35,2,1,5,126
rkrGstNormalized5GramDiceMinMatchLength1,0,26,2,161,387,48,2,1,4,141
rkrGstNormalized5GramDiceMinMatchLength2,0,29,2,155,368,35,2,1,4,131
rkrGstNormalized5GramDiceMinMatchLength3,0,23,3,183,429,37,2,1,4,167
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,40,3,188,453,45,2,1,5,149
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,27,2,165,380,39,2,1,4,137
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,26,2,161,381,39,2,1,4,134
