similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
overlapNormalizedShingles3, 0, 1, 0, 0, 0, no result, 0, 0, 0, no result
winnowingTokenDice, 0, 5, 0, 1, 0, 1, 0, 0, 0, 1
winnowingShingle2Jaccard, 0, 7, 0, 2, 1, no result, 1, 0, 1, 1
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 5, 0, 1, 0, 1, 1, 0, 0, 1
diceNormalizedPadding5grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
cosineNormalizedShingle3NormalizedTermFrequency, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
cosineNormalized5GramsBool, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalized2GramDiceMinMatchLength2, 0, 23, 0, 1, 0, 1, 0, 0, 0, 0
diceVariantNormalized5Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalizedPadding2grams, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized4GramDiceMinMatchLength2, 0, 14, 0, 1, 0, 1, 0, 0, 0, 0
rkrGst4GramDiceVariantMinMatchLength2, 0, 22, 5, 4, 9, 0, 0, 0, 0, 8
dice3Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
manhattanNormalized3Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingShingle3Jaccard, 0, no result, 0, 2, 1, no result, 1, 0, 0, no result
diceVariantNormalizedShingles3, 0, 1, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 1, 0, 9, 0, no result, 0, 0, 0, no result
optimalAlignment5GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
winnowing2GramOverlap, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
overlap4Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
damerauLevenshteinNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
winnowing2GramJaccard, 0, 4, 0, 1, 0, 2, 1, 0, 0, 2
overlapNormalized4Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramOverlapMinMatchLength3, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength1, 0, 21, 5, 4, 6, 0, 0, 0, 0, 7
rkrGstNormalizedTokenJaccardMinMatchLength2, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
winnowing4GramDiceVariant, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
jaccardShingles2, 0, 2, 0, 2, 0, no result, 1, 0, 0, 2
rkrGst3GramDiceVariantMinMatchLength1, 0, 31, 6, 4, 11, 0, 10, 0, 10, 8
cosineNormalized5GramsTermFrequency, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength1, 0, 18, 1, 0, 6, 0, 5, 0, 0, 1
winnowing5GramJaccard, 0, 5, 0, 1, 1, 2, 2, 0, 0, 3
jaccardNormalized3Grams, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
cosineNormalizedTokensTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
diceNormalizedShingles3, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 1, 0, 0, 6, no result, 0, 0, 0, 0
jaccardNormalizedTokens, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstShingle2DiceVariantMinMatchLength3, 0, 1, 0, 9, 0, no result, 0, 0, 0, 8
diceTokens, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
rkrGstShingle3OverlapMinMatchLength3, 0, no result, 0, 10, 6, no result, 0, 0, 0, no result
manhattanNormalized4Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized5GramJaccard, 0, 5, 1, 1, 1, 2, 2, 0, 1, 3
cosineNormalizedShingle3Bool, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
optimalAlignmentStandard, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
longestCommonSubsequenceShingle3FingerprintNormalized, 0, 2, 0, 2, 0, no result, 1, 0, 0, no result
cosineNormalizedShingle2TermFrequency, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
winnowingNormalizedShingle3Dice, 0, 5, 0, 2, 0, no result, 1, 0, 0, no result
rkrGstNormalized3GramOverlapMinMatchLength3, 0, 15, 0, 0, 7, 0, 0, 0, 0, 0
rkrGst4GramDiceMinMatchLength2, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalizedShingle2Dice, 0, 5, 0, 1, 0, no result, 1, 0, 0, 0
rkrGst5GramOverlapMinMatchLength1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
overlapNormalizedPadding4grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalizedTokenOverlapMinMatchLength3, 0, 1, 0, 1, 0, 9, 0, 0, 0, 8
rkrGstNormalizedShingle3OverlapMinMatchLength1, 0, 1, 0, 0, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 1, 0, 10, 0, no result, 0, 0, 0, no result
rkrGstNormalized2GramDiceMinMatchLength3, 0, 15, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalized4GramDiceVariant, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
rkrGstTokenJaccardMinMatchLength1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
diceVariantNormalized4Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstTokenDiceMinMatchLength2, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
diceShingles2, 0, 1, 0, 1, 0, no result, 1, 0, 0, 1
rkrGstNormalized5GramDiceVariantMinMatchLength1, 0, 20, 5, 0, 6, 0, 0, 0, 0, 8
rkrGstNormalized2GramOverlapMinMatchLength3, 0, 15, 3, 0, 6, 0, 0, 0, 0, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 27, 5, 0, 7, 0, 0, 0, 0, 8
rkrGstNormalized2GramJaccardMinMatchLength1, 0, 22, 5, 1, 5, 1, 1, 0, 0, 0
dice2Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowingNormalizedTokenDice, 0, 3, 0, 2, 0, 1, 0, 0, 0, 1
rkrGstShingle3DiceMinMatchLength1, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
winnowingNormalizedTokenJaccard, 0, 6, 0, 2, 0, 2, 1, 0, 0, 1
rkrGstNormalized5GramDiceMinMatchLength3, 0, 8, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstNormalizedShingle2JaccardMinMatchLength3, 0, 2, 0, 10, 0, no result, 1, 0, 0, 9
diceVariantNormalizedTokens, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst4GramJaccardMinMatchLength1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
diceNormalizedShingles2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
rkrGstNormalized2GramDiceVariantMinMatchLength2, 0, 31, 6, 9, 11, 0, 10, 0, 10, 8
diceVariantNormalized3Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantNormalized2Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
